Topic,Subtopic,ObjectiveName,LearningObjectives,Pre-requisites,vloookup,true?,
Number and Algebra,Number Sense,Number Recognition and Counting,"Numbers are the symbols for representing quantities or a set of given objects.
",,,,
Number and Algebra,Number Sense,,"Counting helps to understand that the value of a number answers ""how many"" for the given objects.
",,,,
Number and Algebra,Number Sense,,Each object counted gets its own number and only that number. (One to one correspondance),,,,
Number and Algebra,Number Sense,,Counting a group of objects is done by assigning one number to each object and only counting each object once.,,,,
Number and Algebra,Number Sense,,"When counting the number of objects, the last number counted equals the amount present.",,,,
Number and Algebra,Number Sense,,Quantities are countable.,,,,
Number and Algebra,Number Sense,Number Names,Number Names are the spellings of the names of each number. ,,,,
Number and Algebra,Number Sense,Comparing ,"By comparing the size of two groups of objects, we see the connection between the quantities.",,,,
Number and Algebra,Number Sense,,Comparing helps in identifying similarities and differences in the given set of objects.,,,,
Number and Algebra,Number Sense,,"Symbols <, > and = are used to represent greater than, smaller than and equal to. ",,,,
Number and Algebra,Number Sense,Ordering ,Ordering is comparing set of objects and place them in logical arrangement. We can place them from greatest to lowest order or from lowest to greatest order.,,,,
Number and Algebra,Number Sense,Place value-Ones and tens,"A single object is one unit and ten such objects make 10 units. Thus, 1 ten = 10 ones/units
Thus, bigger numbers can be broken into tens and ones.",,,,
Number and Algebra,Number Sense,Composition,Adding is putting together.,,,,
Number and Algebra,Number Sense,,Subtraction is taking away.,,,,
Number and Algebra,Number Sense,Parts and Wholes,"Since whole means complete, any unbroken or complete object represents a whole. ",,,,
Number and Algebra,Number Sense,,"When the whole object is broken into pieces, we call each piece a part of it. Thus, to represent a part of an object, we split 1 into parts.",,,,
Number and Algebra,Number Sense,,"Numbers can be split into parts. 
",,,,
Number and Algebra,Number Sense,,"When an object is split into two equal parts, each part is known as half. Half is formed by splitting 1 into two equal parts.",,,,
Number and Algebra,Repeated patterns,Identifying patterns,"Patterns are things that appear in a regular and repeated way, like patterns on the blanket. They can be numbers, images or shapes.",,,,
Number and Algebra,Repeated patterns,,Each pattern follows a defined rule.,,,,
Number and Algebra,Repeated patterns,,Patterns help to recognize differences between items/objects as well as how they function together.,,,,
Number and Algebra,Repeated patterns,,Patterns help us make predictions of what comes next in the given arrangement of objects or numbers.,,,,
Measurement and Geometry ,Shapes,Identify basic shapes,The shape can be defined as the boundary or outline of an object.,,,,
,,,It doesn't depend on the texture or colour of the object.,,,,
,,,Some shapes are made of straight lines and others are made of curved lines,,,,
,,,Shapes can be seen in our surroundings.,,,,
,,"Compare, sort and classify basic shapes","By comparing different objects for their shapes and sizes, we see the connection between the objects.",,,,
,,,"Since sorting involves separating objects into groups according to their similarities, it also helps to see their differences.",,,,
,,,Classification involves grouping objects or events into pre-determined groups ,,,,
,,,Things can be organized into unique groups ,,,,
,Measurement,"Distance, length and height",Distance is how far apart two objects are.,,,,
,,,Length measures the distance between two points. It also measures the size of an object like how long an object is.,,,,
